epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1317.73,0.9457,2.98004,1.31771,0.74033,0.41752,0.41047,0.29126,0.94752,2.97108,1.43145,0.00036818,0.00036818,0.00036818
2,2585.18,0.96792,2.01896,1.29886,0.7989,0.42599,0.42549,0.29513,1.00532,2.69829,1.48865,0.000709268,0.000709268,0.000709268
3,3840.51,1.0073,1.81224,1.32185,0.78523,0.41092,0.47675,0.34208,0.96569,2.20781,1.38096,0.00102103,0.00102103,0.00102103
4,5094,0.96755,1.55098,1.29322,0.75096,0.44509,0.49232,0.34832,0.93682,1.89901,1.35306,0.000979013,0.000979013,0.000979013
5,6347.46,0.92712,1.31569,1.25086,0.74827,0.53359,0.55635,0.40434,0.89359,1.48946,1.3371,0.000935018,0.000935018,0.000935018
6,7601.29,0.91875,1.27827,1.24531,0.64991,0.55094,0.53049,0.39277,0.85951,1.35557,1.31205,0.000891022,0.000891022,0.000891022
7,8855.28,0.908,1.17207,1.24561,0.54368,0.53425,0.57153,0.43076,0.86088,1.22538,1.36231,0.000847026,0.000847026,0.000847026
8,10108.6,0.87151,1.0777,1.23176,0.80924,0.55765,0.60774,0.45479,0.84943,1.18203,1.33864,0.000803031,0.000803031,0.000803031
9,11360.9,0.81532,0.98783,1.19722,0.72839,0.53628,0.535,0.40476,0.84519,1.2698,1.29954,0.000759035,0.000759035,0.000759035
10,12592.9,0.83452,0.99822,1.20733,0.76016,0.57921,0.60304,0.45984,0.85489,1.06405,1.32169,0.00071504,0.00071504,0.00071504
11,13814.8,0.85066,0.9498,1.21443,0.77391,0.56057,0.58749,0.44517,0.80193,1.06581,1.25059,0.000671044,0.000671044,0.000671044
12,15016.9,0.83885,0.91253,1.20582,0.73414,0.59575,0.59919,0.45963,0.82059,0.96343,1.28233,0.000627048,0.000627048,0.000627048
13,16215,0.78687,0.87341,1.17416,0.82985,0.60503,0.61772,0.48236,0.75224,0.98404,1.20907,0.000583053,0.000583053,0.000583053
14,17412.7,0.77854,0.87011,1.16901,0.79239,0.61443,0.63122,0.49263,0.75393,0.89655,1.21465,0.000539057,0.000539057,0.000539057
15,18600.3,0.72795,0.78203,1.13474,0.82622,0.62109,0.6469,0.50724,0.74414,0.9013,1.21123,0.000495062,0.000495062,0.000495062
16,19781.7,0.65938,0.76356,1.11143,0.86388,0.55661,0.61006,0.48226,0.72922,0.90407,1.19733,0.000451066,0.000451066,0.000451066
17,20961.6,0.63039,0.70953,1.09122,0.86767,0.60837,0.65763,0.51873,0.71058,0.83488,1.1824,0.00040707,0.00040707,0.00040707
18,22141.8,0.61009,0.67245,1.07744,0.83448,0.64227,0.65136,0.52534,0.71254,0.7891,1.19473,0.000363075,0.000363075,0.000363075
19,23322.9,0.60786,0.64474,1.07851,0.8382,0.60788,0.64118,0.50747,0.70247,0.83669,1.17033,0.000319079,0.000319079,0.000319079
20,24503.8,0.58408,0.61032,1.05167,0.85192,0.62625,0.64603,0.52652,0.68628,0.76712,1.17754,0.000275084,0.000275084,0.000275084
21,25680.6,0.56152,0.56971,1.05086,0.86106,0.62295,0.65973,0.5238,0.68401,0.76667,1.16651,0.000231088,0.000231088,0.000231088
22,26858.5,0.56264,0.56011,1.03348,0.89669,0.62298,0.6662,0.53332,0.66861,0.74469,1.15995,0.000187092,0.000187092,0.000187092
23,28037.5,0.52464,0.53377,1.02765,0.82582,0.61824,0.63862,0.51243,0.66382,0.7722,1.16017,0.000143097,0.000143097,0.000143097
24,29217.4,0.51477,0.51474,1.01299,0.8802,0.64032,0.67329,0.54584,0.65513,0.73647,1.15042,9.91012e-05,9.91012e-05,9.91012e-05
25,30397.8,0.50395,0.49609,1.00043,0.88067,0.63278,0.66884,0.54187,0.64635,0.74057,1.13922,5.51056e-05,5.51056e-05,5.51056e-05
